iter	Passed	Remaining
0	123	123504
1	126	62943
2	128	42612
3	129	32137
4	129	25789
5	130	21571
6	131	18603
7	133	16505
8	133	14705
9	134	13267
10	134	12102
11	135	11135
12	137	10425
13	138	9774
14	139	9178
15	140	8636
16	141	8156
17	141	7728
18	142	7361
19	143	7011
20	143	6695
21	144	6414
22	145	6174
23	145	5932
24	146	5712
25	147	5508
26	147	5320
27	148	5144
28	148	4982
29	149	4828
30	150	4689
31	151	4568
32	151	4452
33	152	4338
34	153	4229
35	154	4131
36	155	4034
37	155	3941
38	156	3851
39	156	3765
40	157	3682
41	158	3604
42	158	3531
43	159	3461
44	159	3391
45	160	3325
46	160	3261
47	161	3201
48	162	3144
49	162	3089
50	163	3035
51	163	2983
52	164	2935
53	165	2891
54	165	2850
55	166	2809
56	167	2767
57	167	2724
58	168	2683
59	168	2644
60	169	2606
61	169	2569
62	170	2533
63	170	2499
64	171	2467
65	172	2435
66	172	2404
67	173	2375
68	173	2346
69	174	2318
70	175	2290
71	176	2268
72	176	2247
73	177	2222
74	178	2196
75	178	2172
76	179	2148
77	180	2130
78	181	2111
79	181	2091
80	182	2070
81	183	2050
82	183	2026
83	183	2006
84	184	1986
85	185	1966
86	185	1947
87	186	1928
88	186	1910
89	187	1892
90	187	1876
91	188	1860
92	189	1843
93	189	1827
94	190	1811
95	190	1795
96	191	1780
97	191	1764
98	192	1749
99	192	1734
100	193	1720
101	193	1706
102	194	1694
103	195	1685
104	196	1674
105	197	1662
106	197	1650
107	198	1638
108	199	1626
109	199	1614
110	200	1602
111	200	1591
112	201	1579
113	201	1569
114	202	1558
115	202	1546
116	203	1535
117	203	1524
118	204	1514
119	205	1503
120	205	1493
121	206	1482
122	206	1472
123	207	1462
124	207	1452
125	208	1443
126	208	1433
127	209	1425
128	210	1418
129	211	1412
130	211	1405
131	212	1397
132	213	1388
133	213	1380
134	214	1371
135	214	1363
136	215	1355
137	215	1347
138	216	1339
139	216	1331
140	217	1323
141	217	1315
142	218	1307
143	218	1299
144	219	1292
145	219	1284
146	220	1277
147	220	1270
148	221	1263
149	221	1256
150	222	1249
151	222	1242
152	223	1235
153	223	1229
154	224	1222
155	225	1217
156	226	1213
157	226	1208
158	227	1202
159	227	1196
160	228	1190
161	229	1184
162	229	1178
163	230	1173
164	230	1167
165	231	1161
166	231	1156
167	232	1150
168	232	1145
169	233	1139
170	234	1134
171	234	1129
172	235	1124
173	235	1119
174	236	1115
175	237	1110
176	237	1105
177	238	1100
178	239	1096
179	239	1092
180	241	1090
181	242	1087
182	242	1084
183	243	1080
184	244	1075
185	244	1072
186	245	1067
187	246	1063
188	246	1059
189	247	1054
190	248	1051
191	248	1047
192	249	1043
193	250	1039
194	250	1035
195	251	1031
196	251	1027
197	252	1023
198	253	1019
199	253	1015
200	254	1013
201	255	1011
202	256	1008
203	257	1004
204	258	1001
205	258	997
206	259	994
207	260	990
208	260	986
209	261	983
210	261	979
211	262	975
212	263	971
213	263	967
214	264	964
215	264	960
216	265	956
217	265	952
218	266	948
219	266	945
220	267	942
221	267	939
222	268	935
223	268	931
224	269	929
225	270	926
226	271	923
227	271	920
228	272	917
229	272	913
230	273	910
231	274	907
232	274	904
233	275	900
234	275	897
235	276	894
236	276	890
237	277	887
238	277	884
239	278	881
240	278	877
241	279	874
242	279	871
243	280	868
244	280	865
245	281	862
246	282	859
247	282	856
248	283	853
249	283	850
250	284	847
251	284	845
252	285	842
253	286	840
254	287	838
255	287	835
256	288	833
257	288	830
258	289	828
259	289	825
260	290	822
261	291	819
262	291	817
263	292	814
264	292	811
265	293	808
266	293	806
267	294	803
268	294	800
269	295	797
270	295	795
271	296	793
272	297	791
273	297	789
274	298	787
275	299	785
276	300	783
277	301	782
278	302	780
279	302	778
280	303	776
281	303	773
282	304	771
283	305	769
284	305	766
285	306	764
286	306	761
287	307	759
288	307	756
289	308	754
290	308	751
291	309	749
292	309	747
293	310	745
294	311	743
295	311	741
296	312	739
297	312	737
298	313	734
299	313	732
300	314	730
301	315	728
302	316	727
303	316	725
304	317	723
305	318	721
306	318	719
307	319	717
308	319	715
309	320	713
310	320	710
311	321	708
312	321	706
313	322	704
314	323	702
315	323	700
316	324	698
317	324	696
318	325	695
319	326	693
320	326	691
321	327	688
322	327	686
323	328	684
324	328	682
325	329	680
326	329	679
327	330	677
328	331	675
329	332	674
330	332	672
331	333	671
332	334	670
333	335	668
334	338	672
335	340	672
336	340	670
337	341	668
338	342	667
339	343	666
340	345	667
341	346	666
342	347	665
343	348	663
344	348	662
345	349	660
346	349	658
347	350	656
348	350	654
349	351	652
350	351	650
351	352	648
352	352	646
353	353	644
354	354	643
355	354	641
356	355	639
357	356	638
358	356	636
359	357	634
360	357	633
361	358	631
362	358	629
363	359	627
364	359	626
365	360	624
366	361	623
367	362	622
368	363	621
369	363	619
370	364	617
371	365	616
372	365	614
373	366	612
374	366	611
375	367	609
376	367	607
377	368	606
378	369	604
379	369	602
380	370	601
381	370	599
382	371	597
383	371	596
384	372	594
385	372	592
386	373	591
387	373	589
388	374	587
389	374	585
390	375	584
391	376	584
392	377	583
393	378	582
394	378	580
395	379	578
396	379	577
397	380	575
398	380	573
399	381	572
400	381	570
401	382	568
402	383	567
403	383	566
404	384	564
405	384	563
406	385	561
407	385	559
408	386	558
409	386	556
410	387	555
411	387	553
412	388	551
413	388	550
414	389	548
415	390	547
416	391	547
417	392	546
418	393	545
419	393	543
420	394	542
421	394	540
422	395	539
423	396	537
424	396	536
425	397	535
426	397	534
427	398	532
428	399	531
429	399	529
430	400	528
431	400	526
432	401	525
433	401	523
434	402	522
435	402	520
436	403	519
437	403	518
438	404	516
439	404	515
440	406	514
441	406	513
442	407	512
443	408	511
444	408	509
445	409	508
446	409	507
447	410	505
448	410	504
449	411	502
450	412	501
451	412	500
452	413	498
453	413	497
454	414	496
455	414	494
456	415	493
457	415	492
458	416	490
459	416	489
460	417	487
461	417	486
462	418	485
463	418	483
464	419	482
465	420	481
466	420	480
467	421	479
468	422	478
469	422	476
470	423	475
471	424	474
472	424	473
473	425	472
474	426	470
475	426	469
476	427	468
477	428	467
478	428	466
479	429	465
480	429	463
481	430	462
482	430	461
483	431	459
484	431	458
485	432	457
486	432	455
487	433	454
488	434	453
489	434	452
490	435	451
491	435	450
492	436	449
493	437	448
494	438	446
495	438	445
496	439	444
497	439	443
498	440	442
499	441	441
500	441	440
501	442	438
502	442	437
503	443	436
504	443	435
505	444	433
506	445	432
507	445	431
508	446	430
509	446	429
510	447	427
511	447	426
512	448	425
513	449	424
514	449	423
515	450	422
516	451	421
517	452	421
518	453	420
519	453	419
520	454	418
521	455	417
522	456	415
523	456	414
524	457	413
525	457	412
526	458	411
527	459	410
528	459	409
529	460	408
530	460	406
531	461	405
532	461	404
533	462	403
534	463	402
535	463	401
536	464	400
537	464	399
538	465	397
539	466	397
540	466	396
541	467	395
542	468	393
543	468	392
544	469	391
545	470	390
546	470	389
547	471	388
548	471	387
549	472	386
550	472	385
551	473	384
552	473	382
553	474	381
554	474	380
555	475	379
556	476	378
557	477	377
558	477	376
559	478	375
560	478	374
561	479	373
562	479	372
563	480	371
564	481	370
565	482	369
566	482	368
567	483	367
568	484	366
569	484	365
570	485	364
571	485	363
572	486	362
573	487	361
574	487	360
575	488	359
576	488	358
577	489	357
578	489	356
579	490	354
580	490	353
581	491	352
582	492	351
583	492	350
584	493	349
585	493	348
586	494	347
587	494	346
588	495	345
589	495	344
590	496	343
591	497	342
592	498	341
593	498	341
594	499	340
595	500	339
596	500	337
597	501	336
598	501	335
599	502	334
600	502	333
601	503	332
602	503	331
603	504	330
604	504	329
605	505	328
606	505	327
607	506	326
608	507	325
609	507	324
610	508	323
611	508	322
612	509	321
613	509	320
614	510	319
615	510	318
616	511	317
617	512	316
618	513	316
619	514	315
620	514	314
621	515	313
622	516	312
623	517	311
624	517	310
625	518	309
626	518	308
627	519	307
628	520	306
629	520	305
630	521	304
631	522	304
632	522	303
633	523	302
634	524	301
635	524	300
636	525	299
637	526	298
638	527	297
639	528	297
640	529	296
641	529	295
642	530	294
643	530	293
644	531	292
645	532	291
646	532	290
647	533	289
648	534	288
649	534	287
650	535	286
651	535	286
652	536	285
653	537	284
654	537	283
655	538	282
656	538	281
657	539	280
658	540	279
659	540	278
660	541	277
661	542	276
662	543	276
663	543	275
664	544	274
665	545	273
666	545	272
667	546	271
668	546	270
669	547	269
670	548	268
671	548	267
672	549	266
673	549	266
674	550	265
675	551	264
676	551	263
677	552	262
678	552	261
679	553	260
680	553	259
681	554	258
682	554	257
683	555	256
684	556	255
685	557	255
686	558	254
687	559	253
688	559	252
689	560	251
690	561	250
691	561	250
692	562	249
693	562	248
694	563	247
695	563	246
696	564	245
697	564	244
698	565	243
699	565	242
700	566	241
701	566	240
702	567	239
703	568	239
704	569	238
705	570	237
706	571	236
707	571	235
708	572	235
709	573	234
710	574	233
711	574	232
712	575	231
713	575	230
714	576	229
715	576	228
716	577	227
717	577	226
718	578	226
719	579	225
720	579	224
721	580	223
722	580	222
723	581	221
724	581	220
725	582	219
726	582	218
727	583	217
728	583	217
729	584	216
730	584	215
731	585	214
732	586	213
733	586	212
734	587	211
735	588	211
736	589	210
737	589	209
738	590	208
739	590	207
740	591	206
741	592	205
742	592	205
743	593	204
744	593	203
745	594	202
746	594	201
747	595	200
748	596	199
749	596	198
750	597	197
751	597	197
752	598	196
753	598	195
754	599	194
755	599	193
756	600	192
757	601	191
758	601	191
759	602	190
760	603	189
761	604	188
762	605	187
763	605	187
764	606	186
765	606	185
766	607	184
